frame	det	region	exposure_s	omega_arcmin2	mean_exposure_s	response_throughput	qpb_fraction	sp_fraction	source_counts	background_counts
mos1-s001-p01	mos1	inner	7964.817771	117.7006414	5818.521342	0.7305278676	0.2636906186	0.3166463443	4829	157.7412833
mos1-s001-p01	mos1	outer	7959.503102	164.7989954	1771.937778	0.2226191454	0.1960626592	0.1870241761	734	103.9955456
mos1-s001-p02	mos1	inner	5643.670486	112.3992038	4251.214046	0.7532711303	0.2505980158	0.3065638325	1852	151.7754954
mos1-s001-p02	mos1	outer	5635.025395	164.0032642	1301.575209	0.2309794753	0.2098105651	0.2035975884	360	106.9014996
mos1-s001-p03	mos1	inner	4686.763883	107.9213592	3568.412011	0.761380795	0.2394527559	0.2995379184	643	101.9223087
mos1-s001-p03	mos1	outer	4679.66643	172.0152149	1112.365793	0.2377019409	0.2367058052	0.2250178819	228	83.49045882
mos1-s001-p04	mos1	inner	3911.783584	115.9334956	2964.444185	0.7578241795	0.2547004297	0.3144250058	464	120.2837744
mos1-s001-p04	mos1	outer	3907.936028	165.271461	902.0346363	0.2308212391	0.2133002846	0.2076848559	175	84.18488061
mos1-s001-p05	mos1	inner	3236.119606	117.8398787	2494.744276	0.7709060788	0.2609456137	0.3221895892	510	86.54483101
mos1-s001-p05	mos1	outer	3232.905228	174.0356844	755.8895932	0.233811244	0.2332714682	0.2187319193	207	64.43200704
mos1-s001-p06	mos1	inner	1710.702051	119.4677873	1301.253923	0.7606549149	0.2601714253	0.3168492249	254	69.85665706
mos1-s001-p06	mos1	outer	1709.086538	172.205219	394.558243	0.2308591369	0.2010819291	0.2052673966	90	47.13289732
mos1-u009-p11	mos1	inner	1282.068042	119.4677873	995.6511887	0.7765977747	0.3032542166	0.3227742554	731	26.72769658
mos1-u009-p11	mos1	outer	1309.368558	172.7657793	307.7164793	0.2350113551	0.2198617216	0.2185751551	129	19.2701058
mos2-s002-p01	mos2	inner	8141.196281	117.7006414	6510.534833	0.7997024772	0.252953722	0.2638118628	4725	131.1316586
mos2-s002-p01	mos2	outer	8142.749645	164.7441365	3416.658181	0.4195951405	0.2620663194	0.2677655191	1157	134.8841699
mos2-s002-p02	mos2	inner	6060.042329	112.3992038	4829.179231	0.7968886963	0.239791407	0.2472325434	1865	106.7064355
mos2-s002-p02	mos2	outer	6072.408229	163.9529426	2589.492234	0.4264357956	0.2661656159	0.2762373895	574	119.0197641
mos2-s002-p03	mos2	inner	5744.917785	107.8919311	4631.025346	0.806108202	0.2320681833	0.2393133578	770	90.54464832
mos2-s002-p03	mos2	outer	5759.971672	171.7302895	2438.396757	0.4233348523	0.276773948	0.2863080622	465	108.431718
mos2-s002-p04	mos2	inner	4390.912985	115.9334956	3519.684286	0.8015837022	0.2437961743	0.2535346595	505	99.83991426
mos2-s002-p04	mos2	outer	4389.085846	165.3016524	1844.397406	0.4202235888	0.2707950816	0.273557168	356	109.017025
mos2-s002-p05	mos2	inner	4189.870257	117.3122213	3392.916849	0.8097904326	0.2486203292	0.2566871452	690	84.14940834
mos2-s002-p05	mos2	outer	4194.040793	174.3746801	1783.247623	0.4251860463	0.2877811071	0.2890941878	364	96.46495846
mos2-s002-p06	mos2	inner	3141.388316	119.4677873	2547.194368	0.8108498891	0.2513245143	0.2616156973	484	81.00956181
mos2-s002-p06	mos2	outer	3144.000581	172.3753146	1333.091091	0.4240110827	0.270780197	0.2790275219	243	86.86221221
mos2-u009-p11	mos2	inner	1299.634322	119.4677873	1054.823387	0.8116309096	0.2032030155	0.2243004685	774	23.31748717
mos2-u009-p11	mos2	outer	1299.786041	172.7657793	645.9009251	0.4969286519	0.278252321	0.2846903747	210	31.06797971
pn-s003-p01	pn	inner	5218.946953	117.7006414	3784.854572	0.7252142255	0.1945768104	0.2027574936	14886	798.6115029
