r_lo_arcmin	r_hi_arcmin	events_count	qpb_count	sp_count	oot_count	exposure_s_arcmin2
0.0	0.25	795.0	1.9674037583172321	2.6218089684844017	91.0	33877.007916665985
0.25	0.5	1706.0	5.906066335737705	7.0460215248167515	273.0	98857.2492361092
0.5	0.75	2165.0	9.869051109999418	11.197402149438858	389.0	166324.61465277447
0.75	1.25	4261.0	29.01955525763333	32.807977724820375	851.0	476700.34522568487
1.25	2.25	9052.0	104.6240184865892	113.08379096537828	2458.0	1680608.3656770505
2.25	4.0	15358.0	325.6133880633861	341.9218283742666	5902.0	4899914.405555464
4.0	6.0	16205.0	588.0042709950358	590.1542487228289	8846.0	7950556.814287989
6.0	8.0	12829.0	700.3153447164223	640.3621107051149	10265.0	8595033.536788035
8.0	10.0	11779.0	877.3939098063856	765.137642477639	10910.0	9053692.586301856
10.0	12.0	10737.0	1040.2465508822352	894.2691515958868	10875.0	8928321.58986965
