r_lo_arcmin	r_hi_arcmin	r_arcmin	soft_count	hard_count	exposure_s_arcmin2	net_ct_s_arcmin2	error_ct_s_arcmin2	comet_model_ct_s_arcmin2	sky_ct_s_arcmin2
0.0	0.25	0.16666666666666666	798	19	4998.224774524555	0.15822143085127666	0.005668748064752997	0.46598337883220076	1.1546994380315043e-08
0.25	0.5	0.38888888888888884	1672	59	15025.585940198316	0.10957817144892038	0.002733460685065335	0.16229232013436104	1.1546994380315043e-08
0.5	0.75	0.6333333333333333	2191	92	24717.382018667588	0.08685921624574994	0.0019037450114530081	0.09644392949318026	1.1546994380315043e-08
0.75	1.0	0.8809523809523808	1952	108	29276.700422914248	0.06486830156659265	0.001519603336502233	0.06857112937363259	1.1546994380315043e-08
1.0	1.25	1.1296296296296295	2208	152	39634.494683628596	0.05376852273752461	0.001195826286010307	0.0530082897039398	1.1546994380315043e-08
1.25	1.5	1.3787878787878787	2198	211	50182.11466774706	0.0417231128562788	0.0009455081850047248	0.04326161570325741	1.1546994380315043e-08
1.5	1.75	1.628205128205128	2293	232	58207.98366849498	0.03736798681045729	0.0008330998289578529	0.03651609263568136	1.1546994380315043e-08
1.75	2.0	1.8777777777777775	2270	291	67448.51260964345	0.0314900537095853	0.0007177243275948813	0.031572435639223274	1.1546994380315043e-08
2.0	2.25	2.127450980392157	2345	282	74905.71484857723	0.029362824713307947	0.000656223240911918	0.027794584856949998	1.1546994380315043e-08
2.25	2.5	2.3771929824561404	2343	370	83357.85983074641	0.02583483940231455	0.000592147008595201	0.024825717405119744	1.1546994380315043e-08
2.5	2.75	2.626984126984127	2252	371	91549.1461682848	0.022556701117694315	0.000529028911538459	0.02241794124520274	1.1546994380315043e-08
2.75	3.0	2.876811594202898	2274	432	99002.34291928716	0.020760596343781777	0.0004930867442847817	0.02043483297127843	1.1546994380315043e-08
3.0	3.25	3.1266666666666665	2211	435	106487.8868514482	0.018713401830919636	0.00045239899268658204	0.01877601773006901	1.1546994380315043e-08
3.25	3.5	3.3765432098765427	2293	476	114388.79383155398	0.01792413176119812	0.00042944912463883174	0.017364929135321342	1.1546994380315043e-08
3.5	3.75	3.626436781609195	2173	499	121780.3366679226	0.015803989739635607	0.00039372361803080114	0.01614686638115926	1.1546994380315043e-08
3.75	4.0	3.876344086021505	2264	567	128363.79552294376	0.01539766237764398	0.0003822169490909011	0.015086893385930554	1.1546994380315043e-08
4.0	4.25	4.126262626262626	2221	564	134913.14112872788	0.014349325663927284	0.0003603417702476675	0.014157566024505708	1.1546994380315043e-08
4.25	4.5	4.376190476190476	2190	654	141439.71063218662	0.013172358287112003	0.000343111884666226	0.013335904926792907	1.1546994380315043e-08
4.5	4.75	4.626126126126126	2170	705	149037.4047479095	0.012213875805493456	0.00032512777840014076	0.012602971036610637	1.1546994380315043e-08
4.75	5.0	4.876068376068376	2298	690	154548.74102569884	0.012574761586716476	0.0003217197618603032	0.011945401936209257	1.1546994380315043e-08
5.0	5.25	5.126016260162602	2144	734	160102.68460569493	0.011108430114224322	0.0003014508228353447	0.011354224002079534	1.1546994380315043e-08
5.25	5.5	5.375968992248062	2137	792	166183.94366801946	0.010493760821249197	0.0002908958205944202	0.010818079454023258	1.1546994380315043e-08
