mjd_utc	stereo_a	solar_orbiter	ace	wind	ace_scaled
61009.500000000					
61009.506944444					
61009.513888889					
61009.520833333					
61009.527777778					
61009.534722222					
61009.541666667	45344757	2.4044281e+08	79427503	1.3706955e+08	1.3502675e+08
61009.548611111	44974460	2.3247793e+08	74603200	1.387657e+08	1.2682544e+08
61009.555555556	44760213	2.2117605e+08	69766403	1.4056228e+08	1.1860288e+08
61009.562500000	44697095	2.1102758e+08	64702471	1.4004902e+08	1.099942e+08
61009.569444444	44707079	2.0342289e+08	60172187	1.3763893e+08	1.0229272e+08
61009.576388889	44717064	1.9836199e+08	58065456	1.3542971e+08	98711274
61009.583333333	44727049	1.9584488e+08	58974895	1.3180785e+08	1.0025732e+08
61009.590277778	44737034	1.9609252e+08	61758222	1.256311e+08	1.0498898e+08
61009.597222222	44747019	1.9334202e+08	65137654	1.1817713e+08	1.1073401e+08
61009.604166667	44757003	1.8580764e+08	68578101	1.1195461e+08	1.1658277e+08
61009.611111111	44766988	1.8077018e+08	72079561	1.0813618e+08	1.2253525e+08
61009.618055556	44776973	1.8599615e+08	75642037	1.0368329e+08	1.2859146e+08
61009.625000000	44852987	1.9814285e+08	77808339	98309359	1.3227418e+08
61009.631944444	45073556	2.0867339e+08	77841515	95116231	1.3233057e+08
61009.638888889	45451175	2.1565395e+08	77322473	93461163	1.314482e+08
61009.645833333	45985843	2.1766094e+08	77272676	95047571	1.3136355e+08
61009.652777778	46677562	2.1469437e+08	77290204	99462454	1.3139335e+08
61009.659722222	47526329	2.0675424e+08	75662319	1.038377e+08	1.2862594e+08
61009.666666667	48387087	1.9545945e+08	71893219	1.0760174e+08	1.2221847e+08
61009.673611111	49022617	1.8162178e+08	68112474	1.1019893e+08	1.1579121e+08
61009.680555556	49444718	1.7198532e+08	65443426	1.1228825e+08	1.1125382e+08
61009.687500000	49757343	1.6990319e+08	63534093	1.1408253e+08	1.0800796e+08
61009.694444444	49960493	1.6809459e+08	62384474	1.1559835e+08	1.0605361e+08
61009.701388889	50054167	1.5879299e+08	60994936	1.1752672e+08	1.0369139e+08
61009.708333333	49972336	1.4472146e+08	59497538	1.186025e+08	1.0114582e+08
61009.715277778	49636474	1.3362699e+08	58592434	1.1714568e+08	99607137
61009.722222222	49080280	1.2677743e+08	57271477	1.1373731e+08	97361511
61009.729166667	48409930	1.2295898e+08	55548049	1.0965579e+08	94431683
61009.736111111	47685406	1.2002999e+08	54582281	1.0581185e+08	92789878
61009.743055556	46906708	1.2155112e+08	55102156	1.0167367e+08	93673666
61009.750000000	46218897	1.273832e+08	54920415	96546560	93364705
61009.756944444	45850568	1.3358882e+08	53769790	92225728	91408643
61009.763888889	45712018	1.3942371e+08	53480258	89880626	90916439
61009.770833333	45630008	1.4407147e+08	53368314	88182239	90726135
61009.777777778	45604540	1.4613304e+08	52998302	85967019	90097113
61009.784722222	45635613	1.4556637e+08	53369855	82751601	90728754
61009.791666667	45723227	1.4431474e+08	55515617	78984734	94376548
61009.798611111	45867382	1.42934e+08	58903819	75421062	1.0013649e+08
61009.805555556	46021885	1.4008692e+08	62763338	72240164	1.0669767e+08
61009.812500000	46080561	1.366815e+08	66297842	69401731	1.1270633e+08
61009.819444444	45983426	1.3462294e+08	68909899	66363575	1.1714683e+08
61009.826388889	45730481	1.3135167e+08	70592058	63438473	1.200065e+08
61009.833333333	45321724	1.2571956e+08	73181565	61640429	1.2440866e+08
61009.840277778	44765779	1.2020364e+08	76319956	59995807	1.2974393e+08
61009.847222222	44140549	1.1594038e+08	78059377	57361660	1.3270094e+08
61009.854166667	43515320	1.1331033e+08	79083333	54755299	1.3444167e+08
61009.861111111	42890091	1.1349539e+08	79827480	53050094	1.3570672e+08
61009.868055556	42264861	1.1549995e+08	80291820	52250012	1.3649609e+08
61009.875000000	41639632	1.1678478e+08	80520341	52355052	1.3688458e+08
61009.881944444	41014402	1.1667854e+08	80652947	53365215	1.3711001e+08
61009.888888889	40389173	1.1565998e+08	80785553	55162630	1.3733544e+08
61009.895833333	39763943	1.1488868e+08	80918159	57260892	1.3756087e+08
61009.902777778	39138714	1.1504546e+08	81050765	59291465	1.377863e+08
61009.909722222	38513484	1.1512921e+08	81183371	61473382	1.3801173e+08
61009.916666667	38297616	1.1438502e+08	81315977	64058910	1.3823716e+08
61009.923611111	38529707	1.1302155e+08	81448583	67081281	1.3846259e+08
61009.930555556	38838993	1.1093029e+08	81581190	70540494	1.3868802e+08
61009.937500000	39225472	1.0804035e+08	81713796	74222095	1.3891345e+08
61009.944444444	39689146	1.045689e+08	81846402	77888879	1.3913888e+08
61009.951388889	40230014	1.015536e+08	81979008	81434319	1.3936431e+08
61009.958333333	40846811	99590402	82111614	84774631	1.3958974e+08
61009.965277778	41536529	98454762	82249121	87909816	1.3982351e+08
61009.972222222	42297424	97737299	82422350	90839874	1.4011799e+08
61009.979166667	43129497	96584260	82657219	93564804	1.4051727e+08
61009.986111111	44032747	94641255	82953728	96084608	1.4102134e+08
61009.993055556	45007176	92000743	83311878	98399284	1.4163019e+08
61010.000000000	45643420	89088506	83731668	1.0050883e+08	1.4234384e+08
61010.006944444	45890973	86344520	84213099	1.0241326e+08	1.4316227e+08
61010.013888889	46015119	83785453	84639707	1.0411255e+08	1.438875e+08
61010.020833333	45984812	81411304	84937141	1.0560672e+08	1.4439314e+08
61010.027777778	45884162	79222075	85148061	1.0691454e+08	1.447517e+08
61010.034722222	45734764	77217765	85273017	1.0808855e+08	1.4496413e+08
61010.041666667	45537884	75380176	85312010	1.0913587e+08	1.4503042e+08
61010.048611111	45296529	73664809	85260138	1.1002988e+08	1.4494223e+08
61010.055555556	45012443	72045361	85086581	1.1077269e+08	1.4464719e+08
61010.062500000	44685626	70521831	85098824	1.1139193e+08	1.44668e+08
61010.069444444	44316077	69026815	85331471	1.1191309e+08	1.450635e+08
61010.076388889	43903797	67539040	85485721	1.1233616e+08	1.4532573e+08
61010.083333333	43448786	66104633	85561574	1.1266115e+08	1.4545468e+08
61010.090277778	42962954	64723594	85559030	1.1286588e+08	1.4545035e+08
61010.097222222	42551780	63395925	85594551	1.1292793e+08	1.4551074e+08
61010.104166667	42246312	62121624	85742491	1.1284708e+08	1.4576224e+08
61010.111111111	41962439	60900692	85960188	1.1262333e+08	1.4613232e+08
61010.118055556	41678566	59733129	86247092	1.1230672e+08	1.4662006e+08
61010.125000000	41394693	58637131	86603203	1.119739e+08	1.4722545e+08
61010.131944444	41110820	57657201	87028521	1.116515e+08	1.4794849e+08
61010.138888889	40826947	56819639	87523047	1.1133739e+08	1.4878918e+08
61010.145833333	40542448	56124447	87753374	1.1100396e+08	1.4918074e+08
