parent	products	rate_s-1	branch	H2O	OH	H2	H	CO2	CO	O2	O	C
H	H+ + e	1.2284011592158355e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2	H + H	6.621622256714241e-08	0.20849098481316347	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
H2	H + H	9.06681927072554e-08	0.2854814131023172	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
H2	H2+ + e	1.3921879804446137e-07	0.4383497454775952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2	H + H+ + e	2.1494320341798775e-08	0.06767785660692416	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
H2O	OH + H	1.2446692270281231e-05	0.7731745208825511	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
H2O	H2 + O	1.1571767050568577e-06	0.07188251505542922	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
H2O	O + H + H	1.5429022734091436e-06	0.09584335340723897	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
H2O	OH+ + H + e	1.3850969809800915e-07	0.008604066617780638	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
H2O	O+ + H2 + e	1.526080219035507e-08	0.0009479838631492548	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
H2O	H+ + OH + e	3.30375664512833e-08	0.0020522564595805864	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2O	H2O+ + e	7.645873132760211e-07	0.04749530371427007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OH	O(3P) + H	5.385593522162221e-06	0.3487356387006143	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
OH	O(1S) + H	1.1186041482216291e-06	0.07243345240927306	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
OH	OH+ + e	5.142258168477911e-07	0.03329788405619631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OH	O(1D) + H	8.424774524387965e-06	0.5455330248339163	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
CO	CO+ + e	8.964485722314678e-07	0.5225832161279593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CO	C+ + O + e	7.14037284940574e-08	0.04162468571629044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CO	O+ + C + e	5.875553750528831e-08	0.03425144364769248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CO	C + O	6.004395062827027e-07	0.35002521951976434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
CO	C(1D) + O(1D)	8.837049625380756e-08	0.051515434988293314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
CO2	CO + O(1D)	1.9461128244868256e-06	0.4247944440952252	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
CO2	CO2+ + e	1.5427099264094592e-06	0.3367402944698741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CO2	CO+ + O + e	1.24403034e-07	0.02715449844780936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CO2	O+ + CO + e	1.5857200359557476e-07	0.034612847348257245	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CO2	C+ + O2 + e	7.554097084225761e-08	0.016488964211934708	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CO2	CO + O(3P)	1.0872703242433939e-08	0.00237327654983209	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
CO2	CO(a3P) + O(3P)	7.230933344573993e-07	0.1578356748770673	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
O	O+ + e	5.776875974387922e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O2	O + O	1.1167448898057883e-07	0.023292668950064845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
O2	O + O(1D)	3.2925329240148335e-06	0.6867448430375528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
O2	O+ + O + e	2.6145467727689764e-07	0.05453328955296065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O2	O(1S) + O(1S)	8.275275366082325e-08	0.017260275944159794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
O2	O2+ + e	1.0459901776634975e-06	0.2181689225152618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C	C+ + e	1.260606012640349e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
