parameter	unit	map	q16	median	q84
Q_H2O	s^-1	2.099347758835893e+28	1.7512395028754829e+28	2.1349374358456536e+28	2.5928097844425397e+28
Q_CO2	s^-1	2.9925294617876366e+27	2.6388423674251987e+27	3.1303411081331643e+27	3.6909009706137286e+27
Q_CO	s^-1	8.836730131205867e+27	6.889919495617775e+27	8.450818103215636e+27	1.0669952446404532e+28
Q_H2	s^-1	6.332748989065998e+28	1.9271735024238788e+27	5.911802002337734e+28	8.578207856286178e+28
beta_H2O	1	3.5790585110656385	3.0359575748443604	3.406451940536499	3.7153632640838623
beta_CO2	1	-0.12503045847723837	-0.3466615378856659	0.36750274896621704	1.0902343368530252
beta_CO	1	1.024151699859937	0.30188262462615967	1.2888354063034058	2.3925888538360596
beta_H2	1	0.8027237053528791	0.33038464188575745	0.6472190618515015	0.8868580412864685
log10_H2_ratio	1	0.2854174789757769	-1.3153241872787476	0.251125305891037	0.4546401953697204
phi_heavy	cm^-2 s^-1	70704.97196799923	65953.225625	82011.828125	127312.17656249991
v_H2O_km_s	km s^-1	0.35165311792814824	0.3125344514846802	0.3644373118877411	0.41903889179229736
v_CO2_km_s	km s^-1	0.4107427560254841	0.3267037868499756	0.3729032874107361	0.424698144197464
v_CO_km_s	km s^-1	0.3622921647433843	0.30687135457992554	0.3538024425506592	0.4053222787380218
v_H2_km_s	km s^-1	0.3672805207863973	0.32942214608192444	0.38296371698379517	0.43683930158615103
v_OH_km_s	km s^-1	1.6240434579226164	0.7399139165878296	1.3794459104537964	2.1412134170532227
v_O_H2O_km_s	km s^-1	2.8015717873519357	0.6844226717948914	1.6419450640678406	2.5670955181121826
v_O_OH_km_s	km s^-1	0.6085909780892406	0.4013030230998993	0.7006741762161255	1.9350754022598267
v_H_km_s	km s^-1	10.200288841480873	5.56717586517334	11.382822036743164	19.279884338378906
scale	1	0.9924876194294315	0.8891063496507969	0.9779181748422152	1.0869460334067154
offset	count s^-1 arcmin^-2	-3.099318771925639e-06	-2.0827341359108686e-05	1.5898901438049506e-05	5.201715466682793e-05
jitter	1	0.05176598213266659	0.05109100416302681	0.08182868734002113	0.1200270801782608
Q_total	s^-1	9.615022707201242e+28	4.445657234733289e+28	9.14469018848316e+28	1.1771939139826168e+29
H2_fraction	1	0.6586306847016637	0.04614839766340233	0.640661728061544	0.7401691187892582
