r_lo_arcsec	r_hi_arcsec	data_ct_s_arcmin2	total_error_ct_s_arcmin2	physical_model_ct_s_arcmin2	prediction_ct_s_arcmin2	residual_ct_s_arcmin2
0.0	15.0	0.023029388172313623	0.0014376988661753674	0.022781489199381895	0.022607246663779917	0.0004221415085337056
15.0	30.0	0.016819051834355343	0.0009647677665775424	0.016909813836243636	0.016779681560556384	3.9370273798959576e-05
30.0	45.0	0.01260955249721999	0.0006904121316639372	0.012272938101899923	0.012177639801387495	0.00043191269583249536
45.0	75.0	0.008563204663589348	0.00045129534808661774	0.008363368748700514	0.008297440621036352	0.0002657640425529958
75.0	135.0	0.005031303285133086	0.0002641522970751327	0.005018939435516973	0.00497813593364481	5.316735148827665e-05
135.0	240.0	0.0027890634228381695	0.00014867870517241868	0.002849781050048021	0.0028252730914853402	-3.620966864717077e-05
240.0	360.0	0.0016867820908884217	9.213899510818145e-05	0.0017640415435748044	0.0017476900733852517	-6.0907982496830005e-05
360.0	480.0	0.001128224005224231	6.40274869552315e-05	0.00121663712831955	0.0012043979684234045	-7.617396319917354e-05
480.0	600.0	0.0009105190502301356	4.8041099842110196e-05	0.0009011777938458248	0.000891308484524784	1.9210565705351677e-05
600.0	720.0	0.0007760108780482879	3.815257538770044e-05	0.0007007330045613114	0.0006923695127807634	8.364136526752453e-05
