parent	products	A0	A1	H2O	OH	H2	H	CO2	CO	O2	O	C
H	H+ + e	1.20e-8	0.45	0	0	0	0	0	0	0	0	0
H2	H + H	1.03e-8	0.36	0	0	0	2	0	0	0	0	0
H2	H + H	6.84e-9	0.50	0	0	0	2	0	0	0	0	0
H2	H2+ + e	1.36e-8	0.45	0	0	0	0	0	0	0	0	0
H2	H + H+ + e	2.16e-10	0.89	0	0	0	1	0	0	0	0	0
H2O	OH + H	3.60e-6	0.24	0	1	0	1	0	0	0	0	0
H2O	H2 + O	1.80e-7	0.36	0	0	1	0	0	0	0	1	0
H2O	O + H + H	2.40e-7	0.36	0	0	0	2	0	0	0	1	0
H2O	OH+ + H + e	2.87e-9	0.75	0	0	0	1	0	0	0	0	0
H2O	O+ + H2 + e	4.00e-11	1.15	0	0	1	0	0	0	0	0	0
H2O	H+ + OH + e	3.32e-10	0.89	0	1	0	0	0	0	0	0	0
H2O	H2O+ + e	4.23e-8	0.56	0	0	0	0	0	0	0	0	0
OH	O(3P) + H	3.97e-6	0.059	0	0	0	1	0	0	0	1	0
OH	O(1S) + H	1.74e-7	0.36	0	0	0	1	0	0	0	1	0
OH	OH+ + e	1.53e-8	0.68	0	0	0	0	0	0	0	0	0
OH	O(1D) + H	1.38e-6	0.35	0	0	0	1	0	0	0	1	0
CO	CO+ + e	3.83e-8	0.61	0	0	0	0	0	0	0	0	0
CO	C+ + O + e	3.48e-10	1.03	0	0	0	0	0	0	0	1	0
CO	O+ + C + e	2.10e-10	1.09	0	0	0	0	0	0	0	0	1
CO	C + O	4.77e-8	0.49	0	0	0	0	0	0	0	1	1
CO	C(1D) + O(1D)	1.78e-8	0.31	0	0	0	0	0	0	0	1	1
CO2	CO + O(1D)	2.22e-7	0.42	0	0	0	0	0	1	0	1	0
CO2	CO2+ + e	5.09e-8	0.66	0	0	0	0	0	0	0	0	0
CO2	CO+ + O + e	7.08e-10	1.00	0	0	0	0	0	0	0	1	0
CO2	O+ + CO + e	8.57e-10	1.01	0	0	0	0	0	1	0	0	0
CO2	C+ + O2 + e	1.98e-10	1.15	0	0	0	0	0	0	1	0	0
CO2	CO + O(3P)	8.44e-9	0.049	0	0	0	0	0	1	0	1	0
CO2	CO(a3P) + O(3P)	6.37e-8	0.47	0	0	0	0	0	1	0	1	0
O	O+ + e	1.81e-8	0.67	0	0	0	0	0	0	0	0	0
O2	O + O	3.23e-8	0.24	0	0	0	0	0	0	0	2	0
O2	O + O(1D)	1.44e-6	0.16	0	0	0	0	0	0	0	2	0
O2	O+ + O + e	2.25e-9	0.92	0	0	0	0	0	0	0	1	0
O2	O(1S) + O(1S)	7.29e-9	0.47	0	0	0	0	0	0	0	2	0
O2	O2+ + e	4.03e-8	0.63	0	0	0	0	0	0	0	0	0
C	C+ + e	9.51e-8	0.50	0	0	0	0	0	0	0	0	0
