species,rho_km_at_1.83au,SB_norm,err_norm
H2O,8227,0.49037,0.0644
H2O,16455,0.25487,0.0223
H2O,24682,0.1721,0.015
H2O,32910,0.11125,0.00972
H2O,41137,0.076642,0.00823
H2O,49364,0.055355,0.00484
H2O,57592,0.042606,0.00372
H2O,65819,0.033517,0.00366
H2O,74047,0.026948,0.00278
H2O,82274,0.023132,0.00202
H2O,90501,0.019428,0.0017
H2O,98729,0.016618,0.00187
H2O,106956,0.013897,0.00158
H2O,115184,0.011261,0.000992
H2O,123411,0.010553,0.00151
H2O,131638,0.0084324,0.00116
H2O,139866,0.0072379,0.00102
H2O,148093,0.0062416,0.000826
H2O,156321,0.0055828,0.000856
H2O,164548,0.0048609,0.000648
H2O,172775,0.0043934,0.000756
H2O,181003,0.0039383,0.00064
H2O,189230,0.0037292,0.000517
H2O,197458,0.0031446,0.00117
H2O,205685,0.0023388,0.000921
H2O,213912,0.0020994,0.000276
H2O,222140,0.0019478,0.000342
H2O,230367,0.0018262,0.000304
H2O,238595,0.0017609,0.000429
CO2,8227,0.51231,0.0429
CO2,16455,0.23779,0.0235
CO2,24682,0.16229,0.017
CO2,32910,0.11376,0.00952
CO2,41137,0.088522,0.00741
CO2,49364,0.071825,0.00601
CO2,57592,0.053604,0.00449
CO2,65819,0.046308,0.00485
CO2,74047,0.040005,0.00335
CO2,82274,0.033259,0.00337
CO2,90501,0.028465,0.00255
CO2,98729,0.025793,0.0027
CO2,106956,0.021642,0.00245
CO2,115184,0.018665,0.00175
CO2,123411,0.016793,0.00195
CO2,131638,0.015027,0.00177
CO2,139866,0.013066,0.00178
CO2,148093,0.011357,0.00149
CO2,156321,0.010395,0.00113
CO2,164548,0.0096576,0.00121
CO2,172775,0.0089563,0.0012
CO2,181003,0.0077289,0.00146
CO2,189230,0.0068028,0.000732
CO2,197458,0.0063617,0.0008
CO2,205685,0.0057501,0.000852
CO2,213912,0.0053098,0.000822
CO2,222140,0.0047227,0.000693
CO2,230367,0.0043011,0.000723
CO2,238595,0.0039248,0.00074
CO2,246822,0.0035941,0.000604
CO2,255049,0.0033513,0.000548
CO2,263277,0.002867,0.000554
CO2,271504,0.0026101,0.000561
CO2,279732,0.0023252,0.000446
CO2,287959,0.0021435,0.00036
CO2,296186,0.0020112,0.000323
CO2,304414,0.0018272,0.00032
CO2,312641,0.0017083,0.000323
CO2,320869,0.0014919,0.00041
CO2,329096,0.0013617,0.000417
CO2,337323,0.0011596,0.000393
CO2,345551,0.00097393,0.000318
CO2,353778,0.00080704,0.000355
CO2,362006,0.00071256,0.000262
CO2,370233,0.00066275,0.000235
CO,8227,0.49879,0.06
CO,16455,0.28049,0.0202
CO,24682,0.16892,0.0157
CO,32910,0.12039,0.0108
CO,41137,0.093057,0.0067
CO,49364,0.068129,0.00655
CO,57592,0.058997,0.00567
CO,65819,0.045316,0.00326
CO,74047,0.040195,0.00386
CO,82274,0.036517,0.00351
CO,90501,0.027384,0.00263
CO,98729,0.023407,0.00256
CO,106956,0.02062,0.00289
CO,115184,0.018624,0.00179
CO,123411,0.017783,0.00171
CO,131638,0.015907,0.00255
CO,139866,0.012885,0.00155
CO,148093,0.012115,0.00116
CO,156321,0.011603,0.00168
CO,164548,0.0099852,0.00146
CO,172775,0.0093057,0.00117
CO,181003,0.009035,0.00136
CO,189230,0.0077182,0.00132
CO,197458,0.0071088,0.00101
CO,205685,0.0064222,0.00131
CO,213912,0.0055926,0.000808
CO,222140,0.0048434,0.0011
CO,230367,0.0042949,0.00112
CO,238595,0.004217,0.00102
CO,246822,0.0042606,0.00104
