mjd	ra_deg	dec_deg	r_au	delta_au
61012.52543982	178.1604171	1.2881636	1.862194	1.885193
61012.52613426	178.1597618	1.2884121	1.862211	1.885186
61012.52682870	178.1591065	1.2886605	1.862228	1.885179
61012.52752315	178.1584511	1.2889090	1.862245	1.885172
61012.52821759	178.1577957	1.2891574	1.862262	1.885165
61012.52891204	178.1571402	1.2894058	1.862280	1.885158
61012.52960648	178.1564847	1.2896542	1.862297	1.885151
61012.53030093	178.1558292	1.2899026	1.862314	1.885144
61012.53099537	178.1551737	1.2901509	1.862331	1.885137
61012.53168982	178.1545181	1.2903993	1.862348	1.885129
61012.53238426	178.1538625	1.2906476	1.862365	1.885122
61012.53307870	178.1532068	1.2908959	1.862383	1.885115
61012.53377315	178.1525512	1.2911441	1.862400	1.885108
61012.53446759	178.1518954	1.2913924	1.862417	1.885101
61012.53516204	178.1512397	1.2916406	1.862434	1.885094
61012.53585648	178.1505839	1.2918889	1.862451	1.885087
61012.53655093	178.1499281	1.2921371	1.862469	1.885080
61012.53724537	178.1492723	1.2923852	1.862486	1.885073
61012.53793981	178.1486164	1.2926334	1.862503	1.885066
61012.53863426	178.1479605	1.2928815	1.862520	1.885058
61012.53932870	178.1473046	1.2931297	1.862537	1.885051
61012.54002315	178.1466486	1.2933778	1.862555	1.885044
61012.54071759	178.1459926	1.2936259	1.862572	1.885037
61012.54141204	178.1453366	1.2938739	1.862589	1.885030
61012.54210648	178.1446806	1.2941220	1.862606	1.885023
61012.54280093	178.1440245	1.2943700	1.862623	1.885016
61012.54349537	178.1433684	1.2946180	1.862641	1.885009
61012.54418981	178.1427122	1.2948660	1.862658	1.885002
61012.54488426	178.1420560	1.2951140	1.862675	1.884995
61012.54557870	178.1413998	1.2953619	1.862692	1.884987
61012.54627315	178.1407436	1.2956099	1.862709	1.884980
61012.54696759	178.1400873	1.2958578	1.862727	1.884973
61012.54766204	178.1394310	1.2961057	1.862744	1.884966
61012.54835648	178.1387746	1.2963535	1.862761	1.884959
61012.54905093	178.1381183	1.2966014	1.862778	1.884952
61012.54974537	178.1374619	1.2968492	1.862795	1.884945
61012.55043982	178.1368054	1.2970971	1.862813	1.884938
61012.55113426	178.1361490	1.2973449	1.862830	1.884931
61012.55182870	178.1354925	1.2975926	1.862847	1.884924
61012.55252315	178.1348359	1.2978404	1.862864	1.884917
61012.55321759	178.1341794	1.2980882	1.862881	1.884910
61012.55391204	178.1335228	1.2983359	1.862898	1.884902
61012.55460648	178.1328662	1.2985836	1.862916	1.884895
61012.55530093	178.1322095	1.2988313	1.862933	1.884888
61012.55599537	178.1315529	1.2990789	1.862950	1.884881
61012.55668982	178.1308962	1.2993266	1.862967	1.884874
61012.55738426	178.1302394	1.2995742	1.862984	1.884867
61012.55807870	178.1295826	1.2998218	1.863002	1.884860
61012.55877315	178.1289258	1.3000694	1.863019	1.884853
61012.55946759	178.1282690	1.3003170	1.863036	1.884846
61012.56016204	178.1276122	1.3005645	1.863053	1.884839
61012.56085648	178.1269553	1.3008121	1.863070	1.884832
61012.56155093	178.1262983	1.3010596	1.863088	1.884825
61012.56224537	178.1256414	1.3013071	1.863105	1.884818
61012.56293982	178.1249844	1.3015545	1.863122	1.884811
61012.56363426	178.1243274	1.3018020	1.863139	1.884803
61012.56432870	178.1236704	1.3020494	1.863156	1.884796
61012.56502315	178.1230133	1.3022968	1.863174	1.884789
61012.56571759	178.1223562	1.3025442	1.863191	1.884782
61012.56641204	178.1216990	1.3027916	1.863208	1.884775
61012.56710648	178.1210419	1.3030390	1.863225	1.884768
61012.56780093	178.1203847	1.3032863	1.863242	1.884761
61012.56849537	178.1197275	1.3035336	1.863260	1.884754
61012.56918981	178.1190702	1.3037809	1.863277	1.884747
61012.56988426	178.1184129	1.3040282	1.863294	1.884740
61012.57057870	178.1177556	1.3042755	1.863311	1.884733
61012.57127315	178.1170983	1.3045227	1.863328	1.884726
61012.57196759	178.1164409	1.3047699	1.863346	1.884719
61012.57266204	178.1157835	1.3050172	1.863363	1.884712
61012.57335648	178.1151261	1.3052643	1.863380	1.884705
61012.57405093	178.1144686	1.3055115	1.863397	1.884697
61012.57474537	178.1138111	1.3057586	1.863414	1.884690
61012.57543981	178.1131536	1.3060058	1.863432	1.884683
61012.57613426	178.1124961	1.3062529	1.863449	1.884676
61012.57682870	178.1118385	1.3065000	1.863466	1.884669
61012.57752315	178.1111809	1.3067470	1.863483	1.884662
61012.57821759	178.1105232	1.3069941	1.863500	1.884655
61012.57891204	178.1098656	1.3072411	1.863518	1.884648
61012.57960648	178.1092079	1.3074881	1.863535	1.884641
61012.58030093	178.1085502	1.3077351	1.863552	1.884634
61012.58099537	178.1078924	1.3079821	1.863569	1.884627
61012.58168982	178.1072346	1.3082290	1.863586	1.884620
61012.58238426	178.1065768	1.3084760	1.863604	1.884613
61012.58307870	178.1059190	1.3087229	1.863621	1.884606
61012.58377315	178.1052611	1.3089698	1.863638	1.884599
61012.58446759	178.1046032	1.3092166	1.863655	1.884592
61012.58516204	178.1039453	1.3094635	1.863673	1.884585
61012.58585648	178.1032873	1.3097103	1.863690	1.884578
61012.58655093	178.1026294	1.3099571	1.863707	1.884571
61012.58724537	178.1019714	1.3102039	1.863724	1.884564
61012.58793982	178.1013133	1.3104507	1.863741	1.884556
61012.58863426	178.1006552	1.3106975	1.863759	1.884549
61012.58932870	178.0999971	1.3109442	1.863776	1.884542
61012.59002315	178.0993390	1.3111909	1.863793	1.884535
61012.59071759	178.0986809	1.3114376	1.863810	1.884528
61012.59141204	178.0980227	1.3116843	1.863827	1.884521
