date	adjusted_flux_sfu
2025-10-24	132.2
2025-10-25	125.6
2025-10-26	121.9
2025-10-27	119.9
2025-10-28	120.7
2025-10-29	116.8
2025-10-30	118.6
2025-10-31	123.4
2025-11-01	113.6
2025-11-02	121.1
2025-11-03	130.8
2025-11-04	156.6
2025-11-05	144.9
2025-11-06	160.8
2025-11-07	162.7
2025-11-08	168.7
2025-11-09	172.3
2025-11-10	176.8
2025-11-11	164.7
2025-11-12	160.0
2025-11-13	152.7
2025-11-14	142.2
2025-11-15	129.4
2025-11-16	129.3
2025-11-17	119.5
2025-11-18	117.4
2025-11-19	119.6
2025-11-20	118.5
2025-11-21	118.3
2025-11-22	116.4
2025-11-23	116.7
2025-11-24	113.2
2025-11-25	113.9
2025-11-26	117.7
2025-11-27	117.7
2025-11-28	134.5
2025-11-29	166.0
2025-11-30	175.4
2025-12-01	191.2
2025-12-02	195.2
2025-12-03	203.6
2025-12-04	213.6
2025-12-05	200.2
2025-12-06	194.0
2025-12-07	188.6
2025-12-08	180.7
2025-12-09	178.1
2025-12-10	163.4
2025-12-11	142.4
2025-12-12	130.4
2025-12-13	118.3
2025-12-14	115.1
2025-12-15	114.6
2025-12-16	113.0
2025-12-17	114.7
2025-12-18	112.2
2025-12-19	114.4
2025-12-20	115.7
2025-12-21	120.0
2025-12-22	129.0
2025-12-23	137.0
2025-12-24	129.8
2025-12-25	157.2
2025-12-26	160.9
2025-12-27	171.8
2025-12-28	181.6
2025-12-29	189.4
2025-12-30	176.1
2025-12-31	164.8
2026-01-01	163.6
2026-01-02	160.5
2026-01-03	159.8
2026-01-04	152.2
2026-01-05	149.2
2026-01-06	139.7
2026-01-07	130.6
2026-01-08	135.5
2026-01-09	113.0
2026-01-10	110.4
2026-01-11	107.0
2026-01-12	109.2
2026-01-13	112.8
