mjd_utc	longitude_deg	radius_au
60979.999199276	38.420933504	0.983240895
60980.040865943	38.462467817	0.983229972
60980.082532609	38.504003133	0.983219051
60980.124199276	38.545539453	0.983208133
60980.165865943	38.587076777	0.983197218
60980.207532609	38.628615105	0.983186306
60980.249199276	38.670154437	0.983175396
60980.290865943	38.711694772	0.983164489
60980.332532609	38.753236112	0.983153585
60980.374199276	38.794778456	0.983142683
60980.415865943	38.836321804	0.983131784
60980.457532609	38.877866156	0.983120888
60980.499199276	38.919411512	0.983109994
60980.540865943	38.960957873	0.983099104
60980.582532609	39.002505238	0.983088216
60980.624199276	39.044053607	0.983077330
60980.665865943	39.085602981	0.983066448
60980.707532609	39.127153360	0.983055568
60980.749199276	39.168704743	0.983044691
60980.790865943	39.210257130	0.983033817
60980.832532609	39.251810523	0.983022946
60980.874199276	39.293364920	0.983012077
60980.915865943	39.334920322	0.983001211
60980.957532609	39.376476728	0.982990348
60980.999199276	39.418034140	0.982979488
60981.040865943	39.459592556	0.982968631
60981.082532609	39.501151977	0.982957776
60981.124199276	39.542712403	0.982946925
60981.165865943	39.584273835	0.982936076
60981.207532609	39.625836271	0.982925230
60981.249199276	39.667399712	0.982914386
60981.290865943	39.708964159	0.982903546
60981.332532609	39.750529610	0.982892708
60981.374199276	39.792096067	0.982881874
60981.415865943	39.833663529	0.982871042
60981.457532609	39.875231996	0.982860213
60981.499199276	39.916801469	0.982849387
60981.540865943	39.958371946	0.982838564
60981.582532609	39.999943430	0.982827743
60981.624199276	40.041515918	0.982816926
60981.665865943	40.083089412	0.982806111
60981.707532609	40.124663911	0.982795300
60981.749199276	40.166239416	0.982784491
60981.790865943	40.207815926	0.982773685
60981.832532609	40.249393442	0.982762882
60981.874199276	40.290971963	0.982752082
60981.915865943	40.332551489	0.982741285
60981.957532609	40.374132021	0.982730491
60981.999199276	40.415713559	0.982719700
60982.040865943	40.457294998	0.982708942
60982.082532609	40.498878529	0.982698157
60982.124199276	40.540463065	0.982687375
60982.165865943	40.582048607	0.982676596
60982.207532609	40.623635154	0.982665820
60982.249199276	40.665222707	0.982655046
60982.290865943	40.706811266	0.982644276
60982.332532609	40.748400830	0.982633509
60982.374199276	40.789991400	0.982622745
60982.415865943	40.831582975	0.982611984
60982.457532609	40.873175557	0.982601226
60982.499199276	40.914769143	0.982590471
60982.540865943	40.956363736	0.982579719
60982.582532609	40.997959334	0.982568970
60982.624199276	41.039555938	0.982558224
60982.665865943	41.081153547	0.982547481
60982.707532609	41.122752163	0.982536741
60982.749199276	41.164351783	0.982526004
60982.790865943	41.205952410	0.982515270
60982.832532609	41.247554042	0.982504539
60982.874199276	41.289156680	0.982493812
60982.915865943	41.330760323	0.982483087
60982.957532609	41.372364972	0.982472366
60982.999199276	41.413970627	0.982461647
60983.040865943	41.455577287	0.982450932
60983.082532609	41.497184953	0.982440220
60983.124199276	41.538793625	0.982429510
60983.165865943	41.580403302	0.982418804
60983.207532609	41.622013984	0.982408101
60983.249199276	41.663625673	0.982397402
60983.290865943	41.705238366	0.982386705
60983.332532609	41.746852066	0.982376011
60983.374199276	41.788466770	0.982365321
60983.415865943	41.830082481	0.982354634
60983.457532609	41.871699197	0.982343950
60983.499199276	41.913316918	0.982333269
60983.540865943	41.954935644	0.982322591
60983.582532609	41.996555377	0.982311916
60983.624199276	42.038176114	0.982301245
60983.665865943	42.079797857	0.982290577
60983.707532609	42.121420605	0.982279912
60983.749199276	42.163044358	0.982269250
60983.790865943	42.204669117	0.982258591
60983.832532609	42.246294881	0.982247935
60983.874199276	42.287921651	0.982237283
60983.915865943	42.329549425	0.982226634
60983.957532609	42.371178205	0.982215988
60983.999199276	42.412807989	0.982205346
60984.040865943	42.454438779	0.982194706
60984.082532609	42.496070574	0.982184070
60984.124199276	42.537703374	0.982173437
60984.165865943	42.579337179	0.982162807
60984.207532609	42.620971989	0.982152181
60984.249199276	42.662607804	0.982141558
60984.290865943	42.704244624	0.982130938
60984.332532609	42.745882448	0.982120321
60984.374199276	42.787521278	0.982109708
60984.415865943	42.829161112	0.982099098
60984.457532609	42.870801951	0.982088491
60984.499199276	42.912443794	0.982077887
60984.540865942	42.954086642	0.982067287
60984.582532609	42.995730495	0.982056690
60984.624199276	43.037375352	0.982046097
60984.665865942	43.079021214	0.982035506
60984.707532609	43.120668081	0.982024920
60984.749199275	43.162315946	0.982014335
60984.790865942	43.203964816	0.982003755
60984.832532608	43.245614690	0.981993177
60984.874199275	43.287265568	0.981982603
60984.915865942	43.328917451	0.981972033
60984.957532608	43.370570337	0.981961465
60984.999199275	43.412224228	0.981950902
60985.040865942	43.453879123	0.981940341
60985.082532608	43.495535022	0.981929784
60985.124199275	43.537191925	0.981919230
60985.165865942	43.578849832	0.981908679
60985.207532608	43.620508743	0.981898132
60985.249199275	43.662168657	0.981887589
60985.290865942	43.703829575	0.981877048
60985.332532608	43.745491497	0.981866512
60985.374199275	43.787154422	0.981855978
60985.415865942	43.828818351	0.981845448
60985.457532608	43.870483284	0.981834921
60985.499199275	43.912149219	0.981824398
60985.540865942	43.953816158	0.981813878
60985.582532608	43.995484101	0.981803362
60985.624199275	44.037153046	0.981792849
60985.665865942	44.078822995	0.981782340
60985.707532608	44.120493947	0.981771834
60985.749199275	44.162165902	0.981761331
60985.790865942	44.203838859	0.981750832
60985.832532608	44.245512820	0.981740336
60985.874199275	44.287187783	0.981729844
60985.915865942	44.328863750	0.981719355
60985.957532608	44.370540718	0.981708870
60985.999199275	44.412218689	0.981698389
60986.040865942	44.453897663	0.981687910
60986.082532608	44.495577639	0.981677436
60986.124199275	44.537258618	0.981666964
60986.165865942	44.578940599	0.981656497
60986.207532608	44.620623582	0.981646033
60986.249199275	44.662307567	0.981635572
60986.290865942	44.703992554	0.981625115
60986.332532608	44.745678543	0.981614661
60986.374199275	44.787365534	0.981604211
60986.415865942	44.829053526	0.981593765
60986.457532608	44.870742521	0.981583322
60986.499199275	44.912432517	0.981572882
60986.540865942	44.954123514	0.981562447
60986.582532608	44.995815513	0.981552014
60986.624199275	45.037508513	0.981541586
60986.665865942	45.079202515	0.981531160
60986.707532608	45.120897517	0.981520739
60986.749199275	45.162593521	0.981510321
60986.790865942	45.204290526	0.981499907
60986.832532608	45.245988532	0.981489496
60986.874199275	45.287687538	0.981479089
60986.915865942	45.329387545	0.981468685
60986.957532608	45.371088553	0.981458285
60986.999199275	45.412790561	0.981447889
60987.040865942	45.454493570	0.981437496
60987.082532608	45.496197579	0.981427107
60987.124199275	45.537902589	0.981416721
60987.165865942	45.579608598	0.981406340
60987.207532608	45.621315608	0.981395961
60987.249199275	45.663023618	0.981385587
60987.290865942	45.704732627	0.981375216
60987.332532608	45.746442637	0.981364849
60987.374199275	45.788153645	0.981354485
60987.415865942	45.829865654	0.981344125
60987.457532608	45.871578662	0.981333769
60987.499199275	45.913292669	0.981323417
60987.540865942	45.955007676	0.981313068
60987.582532608	45.996723682	0.981302723
60987.624199275	46.038440687	0.981292381
60987.665865942	46.080158690	0.981282044
60987.707532608	46.121877693	0.981271710
60987.749199275	46.163597694	0.981261379
60987.790865942	46.205318694	0.981251053
60987.832532608	46.247040693	0.981240730
60987.874199275	46.288763690	0.981230411
60987.915865942	46.330487685	0.981220095
60987.957532608	46.372212679	0.981209784
60987.999199275	46.413938670	0.981199476
60988.040865942	46.455665660	0.981189172
60988.082532608	46.497393647	0.981178871
60988.124199275	46.539122632	0.981168574
60988.165865942	46.580852615	0.981158282
60988.207532608	46.622583596	0.981147992
60988.249199275	46.664315574	0.981137707
60988.290865942	46.706048549	0.981127425
60988.332532608	46.747782521	0.981117148
60988.374199275	46.789517490	0.981106874
60988.415865942	46.831253457	0.981096603
60988.457532608	46.872990420	0.981086337
60988.499199275	46.914728380	0.981076074
60988.540865942	46.956467336	0.981065816
60988.582532608	46.998207289	0.981055561
60988.624199275	47.039948239	0.981045310
60988.665865942	47.081690184	0.981035062
60988.707532608	47.123433126	0.981024819
60988.749199275	47.165177064	0.981014579
60988.790865942	47.206921998	0.981004343
60988.832532608	47.248667927	0.980994111
60988.874199275	47.290414852	0.980983883
60988.915865942	47.332162773	0.980973659
60988.957532608	47.373911689	0.980963439
60988.999199275	47.415661600	0.980953222
60989.040865942	47.457412506	0.980943009
60989.082532608	47.499164408	0.980932801
60989.124199275	47.540917304	0.980922596
60989.165865942	47.582671195	0.980912395
60989.207532608	47.624426081	0.980902198
60989.249199275	47.666181961	0.980892005
60989.290865942	47.707938835	0.980881815
60989.332532608	47.749696704	0.980871630
60989.374199275	47.791455567	0.980861448
60989.415865942	47.833215424	0.980851271
60989.457532608	47.874976275	0.980841097
60989.499199275	47.916738119	0.980830927
60989.540865942	47.958500957	0.980820762
60989.582532608	48.000264788	0.980810600
60989.624199275	48.042029613	0.980800442
60989.665865942	48.083795431	0.980790288
60989.707532608	48.125562242	0.980780138
60989.749199275	48.167330046	0.980769992
60989.790865942	48.209098843	0.980759850
60989.832532608	48.250868632	0.980749712
60989.874199275	48.292639414	0.980739578
60989.915865942	48.334411188	0.980729448
60989.957532608	48.376183954	0.980719322
60989.999199275	48.417957713	0.980709200
60990.040865942	48.459731471	0.980699121
60990.082532608	48.501507199	0.980689007
60990.124199275	48.543283919	0.980678897
