mjd_utc	longitude_deg	radius_au
60979.999199276	-170.146031583	1.359573601
60980.040865943	-170.215188219	1.359677784
60980.082532609	-170.284333566	1.359783668
60980.124199276	-170.353467454	1.359891254
60980.165865943	-170.422589714	1.360000540
60980.207532609	-170.491700174	1.360111526
60980.249199276	-170.560798666	1.360224211
60980.290865943	-170.629885020	1.360338596
60980.332532609	-170.698959066	1.360454679
60980.374199276	-170.768020634	1.360572461
60980.415865943	-170.837069557	1.360691941
60980.457532609	-170.906105665	1.360813118
60980.499199276	-170.975128788	1.360935992
60980.540865943	-171.044138760	1.361060562
60980.582532609	-171.113135412	1.361186828
60980.624199276	-171.182118574	1.361314790
60980.665865943	-171.251088081	1.361444446
60980.707532609	-171.320043763	1.361575797
60980.749199276	-171.388985453	1.361708842
60980.790865943	-171.457912985	1.361843580
60980.832532609	-171.526826190	1.361980011
60980.874199276	-171.595724903	1.362118134
60980.915865943	-171.664608957	1.362257949
60980.957532609	-171.733478185	1.362399455
60980.999199276	-171.802332420	1.362542652
60981.040865943	-171.871171498	1.362687539
60981.082532609	-171.939995252	1.362834115
60981.124199276	-172.008803517	1.362982380
60981.165865943	-172.077596128	1.363132334
60981.207532609	-172.146372919	1.363283975
60981.249199276	-172.215133726	1.363437304
60981.290865943	-172.283878384	1.363592319
60981.332532609	-172.352606729	1.363749020
60981.374199276	-172.421318596	1.363907407
60981.415865943	-172.490013823	1.364067478
60981.457532609	-172.558692245	1.364229233
60981.499199276	-172.627353699	1.364392672
60981.540865943	-172.695998022	1.364557794
60981.582532609	-172.764625052	1.364724597
60981.624199276	-172.833234624	1.364893083
60981.665865943	-172.901826579	1.365063249
60981.707532609	-172.970400752	1.365235095
60981.749199276	-173.038956983	1.365408621
60981.790865943	-173.107495109	1.365583826
60981.832532609	-173.176014971	1.365760709
60981.874199276	-173.244516406	1.365939270
60981.915865943	-173.312999254	1.366119507
60981.957532609	-173.381463354	1.366301421
60981.999199276	-173.449908547	1.366485010
60982.040865943	-173.518334673	1.366670273
60982.082532609	-173.586741571	1.366857211
60982.124199276	-173.655129083	1.367045822
60982.165865943	-173.723497049	1.367236105
60982.207532609	-173.791845311	1.367428060
60982.249199276	-173.860173711	1.367621686
60982.290865943	-173.928482089	1.367816983
60982.332532609	-173.996770289	1.368013949
60982.374199276	-174.065038152	1.368212583
60982.415865943	-174.133285522	1.368412886
60982.457532609	-174.201512241	1.368614856
60982.499199276	-174.269718153	1.368818493
60982.540865943	-174.337903101	1.369023795
60982.582532609	-174.406066930	1.369230762
60982.624199276	-174.474209482	1.369439393
60982.665865943	-174.542330604	1.369649688
60982.707532609	-174.610430140	1.369861645
60982.749199276	-174.678507934	1.370075263
60982.790865943	-174.746563833	1.370290543
60982.832532609	-174.814597683	1.370507482
60982.874199276	-174.882609328	1.370726081
60982.915865943	-174.950598617	1.370946338
60982.957532609	-175.018565394	1.371168253
60982.999199276	-175.086509509	1.371391824
60983.040865943	-175.154430807	1.371617051
60983.082532609	-175.222329137	1.371843933
60983.124199276	-175.290204347	1.372072469
60983.165865943	-175.358056285	1.372302658
