mjd_utc	longitude_deg	radius_au
60979.999199276	53.943411688	0.759856529
60980.040865943	53.991925048	0.760168185
60980.082532609	54.040398558	0.760479470
60980.124199276	54.088832309	0.760790385
60980.165865943	54.137226395	0.761100930
60980.207532609	54.185580907	0.761411105
60980.249199276	54.233895939	0.761720909
60980.290865943	54.282171581	0.762030344
60980.332532609	54.330407927	0.762339408
60980.374199276	54.378605067	0.762648103
60980.415865943	54.426763092	0.762956429
60980.457532609	54.474882093	0.763264384
60980.499199276	54.522962162	0.763571970
60980.540865943	54.571003389	0.763879187
60980.582532609	54.619005863	0.764186035
60980.624199276	54.666969676	0.764492513
60980.665865943	54.714894916	0.764798622
60980.707532609	54.762781673	0.765104362
60980.749199276	54.810630037	0.765409733
60980.790865943	54.858440096	0.765714735
60980.832532609	54.906211940	0.766019369
60980.874199276	54.953945657	0.766323633
60980.915865943	55.001641336	0.766627529
60980.957532609	55.049299063	0.766931057
60980.999199276	55.096918929	0.767234216
60981.040865943	55.144501019	0.767537007
60981.082532609	55.192045422	0.767839430
60981.124199276	55.239552224	0.768141484
60981.165865943	55.287021514	0.768443171
60981.207532609	55.334453376	0.768744489
60981.249199276	55.381847899	0.769045440
60981.290865943	55.429205168	0.769346023
60981.332532609	55.476525269	0.769646238
60981.374199276	55.523808288	0.769946086
60981.415865943	55.571054311	0.770245566
60981.457532609	55.618263423	0.770544679
60981.499199276	55.665435710	0.770843425
60981.540865943	55.712571255	0.771141803
60981.582532609	55.759670145	0.771439814
60981.624199276	55.806732463	0.771737458
60981.665865943	55.853758294	0.772034735
60981.707532609	55.900747722	0.772331646
60981.749199276	55.947700830	0.772628189
60981.790865943	55.994617703	0.772924366
60981.832532609	56.041498424	0.773220177
60981.874199276	56.088343076	0.773515621
60981.915865943	56.135151741	0.773810698
60981.957532609	56.181924504	0.774105409
60981.999199276	56.228661445	0.774399754
60982.040865943	56.275362648	0.774693733
60982.082532609	56.322028196	0.774987346
60982.124199276	56.368658168	0.775280593
60982.165865943	56.415252648	0.775573474
60982.207532609	56.461811718	0.775865989
60982.249199276	56.508335457	0.776158139
60982.290865943	56.554823948	0.776449923
60982.332532609	56.601277271	0.776741342
60982.374199276	56.647695506	0.777032395
60982.415865943	56.694078736	0.777323083
60982.457532609	56.740427038	0.777613406
60982.499199276	56.786740495	0.777903364
60982.540865943	56.833019185	0.778192956
60982.582532609	56.879263188	0.778482184
60982.624199276	56.925472584	0.778771047
60982.665865943	56.971647452	0.779059545
60982.707532609	57.017787870	0.779347679
60982.749199276	57.063893919	0.779635448
60982.790865943	57.109965676	0.779922852
60982.832532609	57.156003220	0.780209893
60982.874199276	57.202006629	0.780496568
60982.915865943	57.247975981	0.780782880
60982.957532609	57.293911355	0.781068828
60982.999199276	57.339812827	0.781354411
60983.040865943	57.385680475	0.781639631
60983.082532609	57.431514377	0.781924487
60983.124199276	57.477314610	0.782208979
60983.165865943	57.523081250	0.782493108
60983.207532609	57.568814374	0.782776873
60983.249199276	57.614514058	0.783060274
60983.290865943	57.660180380	0.783343312
60983.332532609	57.705813415	0.783625987
60983.374199276	57.751413239	0.783908299
60983.415865943	57.796979928	0.784190247
60983.457532609	57.842513557	0.784471833
60983.499199276	57.888014202	0.784753056
60983.540865943	57.933481937	0.785033916
60983.582532609	57.978916839	0.785314413
60983.624199276	58.024318981	0.785594547
60983.665865943	58.069688438	0.785874319
60983.707532609	58.115025286	0.786153729
60983.749199276	58.160329597	0.786432776
60983.790865943	58.205601446	0.786711461
60983.832532609	58.250840908	0.786989784
60983.874199276	58.296048055	0.787267744
60983.915865943	58.341222961	0.787545343
60983.957532609	58.386365699	0.787822579
60983.999199276	58.431476344	0.788099454
60984.040865943	58.476554967	0.788375967
60984.082532609	58.521601642	0.788652119
60984.124199276	58.566616440	0.788927909
60984.165865943	58.611599435	0.789203337
60984.207532609	58.656550699	0.789478405
60984.249199276	58.701470304	0.789753110
60984.290865943	58.746358322	0.790027455
60984.332532609	58.791214825	0.790301439
60984.374199276	58.836039883	0.790575061
60984.415865943	58.880833569	0.790848323
60984.457532609	58.925595954	0.791121224
60984.499199276	58.970327109	0.791393764
60984.540865942	59.015027104	0.791665943
60984.582532609	59.059696011	0.791937762
60984.624199276	59.104333900	0.792209221
60984.665865942	59.148940841	0.792480319
60984.707532609	59.193516905	0.792751057
60984.749199275	59.238062161	0.793021434
60984.790865942	59.282576679	0.793291452
60984.832532608	59.327060530	0.793561109
60984.874199275	59.371513782	0.793830407
60984.915865942	59.415936505	0.794099345
60984.957532608	59.460328768	0.794367923
60984.999199275	59.504690640	0.794636141
60985.040865942	59.549022190	0.794904000
60985.082532608	59.593323487	0.795171499
60985.124199275	59.637594599	0.795438639
60985.165865942	59.681835595	0.795705419
60985.207532608	59.726046542	0.795971841
60985.249199275	59.770227509	0.796237903
60985.290865942	59.814378564	0.796503606
60985.332532608	59.858499775	0.796768951
60985.374199275	59.902591208	0.797033936
60985.415865942	59.946652931	0.797298563
60985.457532608	59.990685012	0.797562831
60985.499199275	60.034687518	0.797826740
60985.540865942	60.078660515	0.798090291
60985.582532608	60.122604071	0.798353483
60985.624199275	60.166518251	0.798616318
60985.665865942	60.210403123	0.798878794
60985.707532608	60.254258752	0.799140911
60985.749199275	60.298085205	0.799402671
60985.790865942	60.341882548	0.799664073
60985.832532608	60.385650846	0.799925117
60985.874199275	60.429390166	0.800185803
60985.915865942	60.473100572	0.800446131
60985.957532608	60.516782130	0.800706102
60985.999199275	60.560434906	0.800965715
60986.040865942	60.604058964	0.801224971
60986.082532608	60.647654369	0.801483870
60986.124199275	60.691221186	0.801742411
60986.165865942	60.734759480	0.802000595
60986.207532608	60.778269314	0.802258422
60986.249199275	60.821750754	0.802515892
60986.290865942	60.865203864	0.802773005
60986.332532608	60.908628707	0.803029761
60986.374199275	60.952025347	0.803286161
60986.415865942	60.995393848	0.803542204
60986.457532608	61.038734274	0.803797890
60986.499199275	61.082046688	0.804053220
60986.540865942	61.125331153	0.804308193
60986.582532608	61.168587732	0.804562810
60986.624199275	61.211816489	0.804817071
60986.665865942	61.255017486	0.805070976
60986.707532608	61.298190785	0.805324525
60986.749199275	61.341336450	0.805577717
60986.790865942	61.384454543	0.805830554
60986.832532608	61.427545126	0.806083036
60986.874199275	61.470608261	0.806335161
60986.915865942	61.513644010	0.806586931
60986.957532608	61.556652435	0.806838345
60986.999199275	61.599633597	0.807089404
60987.040865942	61.642587559	0.807340108
60987.082532608	61.685514381	0.807590456
60987.124199275	61.728414125	0.807840449
60987.165865942	61.771286851	0.808090087
60987.207532608	61.814132622	0.808339370
60987.249199275	61.856951498	0.808588298
60987.290865942	61.899743538	0.808836871
60987.332532608	61.942508805	0.809085090
60987.374199275	61.985247359	0.809332954
60987.415865942	62.027959259	0.809580463
60987.457532608	62.070644566	0.809827618
60987.499199275	62.113303340	0.810074418
60987.540865942	62.155935641	0.810320864
60987.582532608	62.198541529	0.810566956
60987.624199275	62.241121062	0.810812694
60987.665865942	62.283674302	0.811058078
60987.707532608	62.326201306	0.811303107
60987.749199275	62.368702135	0.811547783
60987.790865942	62.411176847	0.811792105
60987.832532608	62.453625502	0.812036073
60987.874199275	62.496048157	0.812279688
60987.915865942	62.538444873	0.812522949
60987.957532608	62.580815707	0.812765856
60987.999199275	62.623160718	0.813008411
60988.040865942	62.665479964	0.813250612
60988.082532608	62.707773504	0.813492459
60988.124199275	62.750041394	0.813733954
60988.165865942	62.792283695	0.813975095
60988.207532608	62.834500462	0.814215884
60988.249199275	62.876691754	0.814456319
60988.290865942	62.918857628	0.814696402
60988.332532608	62.960998143	0.814936132
60988.374199275	63.003113354	0.815175510
60988.415865942	63.045203319	0.815414535
60988.457532608	63.087268096	0.815653207
60988.499199275	63.129307740	0.815891528
60988.540865942	63.171322310	0.816129495
60988.582532608	63.213311861	0.816367111
60988.624199275	63.255276450	0.816604375
60988.665865942	63.297216134	0.816841286
60988.707532608	63.339130969	0.817077845
60988.749199275	63.381021010	0.817314053
60988.790865942	63.422886315	0.817549909
60988.832532608	63.464726938	0.817785413
60988.874199275	63.506542936	0.818020565
60988.915865942	63.548334365	0.818255366
60988.957532608	63.590101279	0.818489816
60988.999199275	63.631843735	0.818723914
60989.040865942	63.673561788	0.818957660
60989.082532608	63.715255796	0.819191060
60989.124199275	63.756925206	0.819424104
60989.165865942	63.798570378	0.819656797
60989.207532608	63.840191367	0.819889140
60989.249199275	63.881788227	0.820121131
60989.290865942	63.923361014	0.820352772
60989.332532608	63.964909781	0.820584062
60989.374199275	64.006434583	0.820815001
60989.415865942	64.047935474	0.821045590
60989.457532608	64.089412509	0.821275828
60989.499199275	64.130865741	0.821505716
60989.540865942	64.172295225	0.821735253
60989.582532608	64.213701014	0.821964440
60989.624199275	64.255083161	0.822193277
60989.665865942	64.296441721	0.822421764
60989.707532608	64.337776747	0.822649901
60989.749199275	64.379088292	0.822877688
60989.790865942	64.420376409	0.823105126
60989.832532608	64.461641152	0.823332213
60989.874199275	64.502882574	0.823558951
60989.915865942	64.544100727	0.823785339
60989.957532608	64.585295664	0.824011378
60989.999199275	64.626467438	0.824237067
60990.040865942	64.667616101	0.824462407
60990.082532608	64.708741707	0.824687397
60990.124199275	64.749844306	0.824912039
60990.165865941	64.790923953	0.825136331
60990.207532608	64.831980697	0.825360274
60990.249199274	64.873014592	0.825583869
60990.290865941	64.914025690	0.825807114
60990.332532608	64.955014042	0.826030010
60990.374199274	64.995979700	0.826252558
60990.415865941	65.036922716	0.826474758
60990.457532607	65.077843140	0.826696608
60990.499199274	65.118741025	0.826918110
60990.540865941	65.159616422	0.827139264
60990.582532607	65.200469381	0.827360070
60990.624199274	65.241299955	0.827580527
60990.665865941	65.282108193	0.827800636
60990.707532607	65.322894146	0.828020397
60990.749199274	65.363657866	0.828239809
60990.790865941	65.404399403	0.828458874
60990.832532607	65.445118808	0.828677592
60990.874199274	65.485816130	0.828895961
60990.915865941	65.526491421	0.829113982
60990.957532607	65.567144730	0.829331656
60990.999199274	65.607776108	0.829548983
60991.040865941	65.648385604	0.829765962
60991.082532607	65.688973269	0.829982593
60991.124199274	65.729539152	0.830198878
60991.165865941	65.770083303	0.830414815
60991.207532607	65.810605772	0.830630404
60991.249199274	65.851106607	0.830845647
60991.290865941	65.891585860	0.831060543
60991.332532607	65.932043578	0.831275092
60991.374199274	65.972479810	0.831489294
60991.415865941	66.012894608	0.831703149
60991.457532607	66.053288018	0.831916657
60991.499199274	66.093660090	0.832129819
60991.540865941	66.134010873	0.832342635
60991.582532607	66.174340415	0.832555103
60991.624199274	66.214648766	0.832767226
60991.665865941	66.254935973	0.832979002
60991.707532607	66.295202085	0.833190432
60991.749199274	66.335447151	0.833401516
60991.790865941	66.375671218	0.833612253
60991.832532607	66.415874335	0.833822645
60991.874199274	66.456056549	0.834032690
60991.915865941	66.496217910	0.834242390
60991.957532607	66.536358464	0.834451744
60991.999199274	66.576478259	0.834660753
60992.040865941	66.616577343	0.834869415
60992.082532607	66.656655763	0.835077732
60992.124199274	66.696713567	0.835285704
60992.165865941	66.736750803	0.835493330
60992.207532607	66.776767517	0.835700611
60992.249199274	66.816763757	0.835907546
60992.290865941	66.856739570	0.836114137
60992.332532607	66.896695002	0.836320382
60992.374199274	66.936630102	0.836526282
60992.415865941	66.976544914	0.836731837
60992.457532607	67.016439488	0.836937048
60992.499199274	67.056313867	0.837141913
60992.540865941	67.096168101	0.837346434
60992.582532607	67.136002234	0.837550610
60992.624199274	67.175816313	0.837754441
60992.665865941	67.215610385	0.837957928
60992.707532607	67.255384496	0.838161071
60992.749199274	67.295138691	0.838363869
60992.790865941	67.334873017	0.838566323
60992.832532607	67.374587520	0.838768432
60992.874199274	67.414282245	0.838970197
60992.915865941	67.453957239	0.839171619
60992.957532607	67.493612546	0.839372696
60992.999199274	67.533248212	0.839573429
60993.040865941	67.572864284	0.839773819
60993.082532607	67.612460805	0.839973864
60993.124199274	67.652037823	0.840173566
60993.165865941	67.691595381	0.840372924
60993.207532607	67.731133524	0.840571939
60993.249199274	67.770652299	0.840770610
60993.290865941	67.810151750	0.840968938
60993.332532607	67.849631921	0.841166922
60993.374199274	67.889092857	0.841364563
60993.415865941	67.928534604	0.841561861
60993.457532607	67.967957206	0.841758816
60993.499199274	68.007360707	0.841955427
60993.540865941	68.046745151	0.842151696
60993.582532607	68.086110584	0.842347621
60993.624199274	68.125457049	0.842543204
60993.665865941	68.164784591	0.842738444
60993.707532607	68.204093253	0.842933341
60993.749199274	68.243383080	0.843127896
60993.790865941	68.282654115	0.843322108
60993.832532607	68.321906403	0.843515977
60993.874199274	68.361139988	0.843709504
60993.915865941	68.400354912	0.843902689
60993.957532607	68.439551219	0.844095531
60993.999199274	68.478728954	0.844288031
60994.040865941	68.517888159	0.844480189
60994.082532607	68.557028878	0.844672005
60994.124199274	68.596151155	0.844863478
60994.165865941	68.635255031	0.845054610
60994.207532607	68.674340551	0.845245400
60994.249199274	68.713407758	0.845435848
60994.290865941	68.752456694	0.845625954
60994.332532607	68.791487403	0.845815719
60994.374199274	68.830499927	0.846005142
60994.415865941	68.869494308	0.846194223
60994.457532607	68.908470591	0.846382963
60994.499199274	68.947428816	0.846571362
60994.540865941	68.986369027	0.846759419
60994.582532607	69.025291266	0.846947135
60994.624199274	69.064195576	0.847134510
60994.665865941	69.103081998	0.847321543
60994.707532607	69.141950575	0.847508236
60994.749199274	69.180801349	0.847694587
60994.790865941	69.219634363	0.847880598
60994.832532607	69.258449657	0.848066268
60994.874199274	69.297247274	0.848251597
60994.915865941	69.336027255	0.848436585
60994.957532607	69.374789643	0.848621232
60994.999199274	69.413534479	0.848805539
60995.040865940	69.452261805	0.848989506
60995.082532607	69.490971662	0.849173131
60995.124199273	69.529664091	0.849356417
60995.165865940	69.568339134	0.849539362
60995.207532607	69.606996833	0.849721967
60995.249199273	69.645637227	0.849904232
60995.290865940	69.684260360	0.850086156
60995.332532606	69.722866271	0.850267741
60995.374199273	69.761455001	0.850448985
60995.415865940	69.800026592	0.850629890
60995.457532606	69.838581085	0.850810455
60995.499199273	69.877118519	0.850990680
60995.540865940	69.915638937	0.851170565
60995.582532606	69.954142377	0.851350110
60995.624199273	69.992628882	0.851529316
60995.665865940	70.031098491	0.851708183
60995.707532606	70.069551246	0.851886710
60995.749199273	70.107987185	0.852064897
60995.790865940	70.146406350	0.852242745
60995.832532606	70.184808780	0.852420254
60995.874199273	70.223194516	0.852597424
60995.915865940	70.261563598	0.852774254
60995.957532606	70.299916066	0.852950746
60995.999199273	70.338251959	0.853126898
60996.040865940	70.376571319	0.853302711
60996.082532606	70.414874183	0.853478186
60996.124199273	70.453160593	0.853653322
60996.165865940	70.491430588	0.853828118
60996.207532606	70.529684207	0.854002577
60996.249199273	70.567921490	0.854176696
60996.290865940	70.606142477	0.854350477
60996.332532606	70.644347206	0.854523920
60996.374199273	70.682535717	0.854697024
60996.415865940	70.720708049	0.854869789
60996.457532606	70.758864242	0.855042217
60996.499199273	70.797004334	0.855214306
60996.540865940	70.835128365	0.855386057
60996.582532606	70.873236373	0.855557469
60996.624199273	70.911328398	0.855728544
60996.665865940	70.949404478	0.855899281
60996.707532606	70.987464652	0.856069680
60996.749199273	71.025508959	0.856239740
60996.790865940	71.063537437	0.856409463
