mjd_utc	longitude_deg	radius_au
60979.999199276	88.022219667	0.966765844
60980.040865943	88.065287090	0.966767685
60980.082532609	88.108354349	0.966769521
60980.124199276	88.151421445	0.966771355
60980.165865943	88.194488379	0.966773185
60980.207532609	88.237555149	0.966775011
60980.249199276	88.280621757	0.966776834
60980.290865943	88.323688204	0.966778654
60980.332532609	88.366754488	0.966780470
60980.374199276	88.409820611	0.966782283
60980.415865943	88.452886573	0.966784092
60980.457532609	88.495952374	0.966785898
60980.499199276	88.539018015	0.966787701
60980.540865943	88.582083495	0.966789500
60980.582532609	88.625148816	0.966791295
60980.624199276	88.668213977	0.966793088
60980.665865943	88.711278979	0.966794876
60980.707532609	88.754343821	0.966796662
60980.749199276	88.797408505	0.966798444
60980.790865943	88.840473031	0.966800222
60980.832532609	88.883537399	0.966801997
60980.874199276	88.926601609	0.966803769
60980.915865943	88.969665661	0.966805537
60980.957532609	89.012729557	0.966807301
60980.999199276	89.055793295	0.966809062
60981.040865943	89.098856877	0.966810820
60981.082532609	89.141920303	0.966812575
60981.124199276	89.184983573	0.966814325
60981.165865943	89.228046687	0.966816073
60981.207532609	89.271109646	0.966817817
60981.249199276	89.314172450	0.966819557
60981.290865943	89.357235100	0.966821294
60981.332532609	89.400297595	0.966823028
60981.374199276	89.443359936	0.966824758
60981.415865943	89.486422123	0.966826485
60981.457532609	89.529484157	0.966828208
60981.499199276	89.572546037	0.966829928
60981.540865943	89.615607765	0.966831644
60981.582532609	89.658669341	0.966833357
60981.624199276	89.701730764	0.966835066
60981.665865943	89.744792035	0.966836772
60981.707532609	89.787853155	0.966838475
60981.749199276	89.830914123	0.966840174
60981.790865943	89.873974941	0.966841869
60981.832532609	89.917035607	0.966843561
60981.874199276	89.960096124	0.966845250
60981.915865943	90.003156490	0.966846935
60981.957532609	90.046216707	0.966848617
60981.999199276	90.089276774	0.966850295
60982.040865943	90.132336692	0.966851970
60982.082532609	90.175396461	0.966853641
60982.124199276	90.218456082	0.966855309
60982.165865943	90.261515555	0.966856973
60982.207532609	90.304574880	0.966858634
60982.249199276	90.347634057	0.966860292
60982.290865943	90.390693087	0.966861945
60982.332532609	90.433751970	0.966863596
60982.374199276	90.476810706	0.966865243
60982.415865943	90.519869296	0.966866886
60982.457532609	90.562927740	0.966868526
60982.499199276	90.605986038	0.966870163
60982.540865943	90.649044191	0.966871796
60982.582532609	90.692102199	0.966873425
60982.624199276	90.735160062	0.966875051
