mjd_utc	longitude_deg	radius_au
60979.999199276	38.464985368	0.992606997
60980.040865943	38.506650848	0.992595971
60980.082532609	38.548317101	0.992584950
60980.124199276	38.589984128	0.992573934
60980.165865943	38.631651929	0.992562923
60980.207532609	38.673320504	0.992551917
60980.249199276	38.714989854	0.992540916
60980.290865943	38.756659978	0.992529920
60980.332532609	38.798330877	0.992518930
60980.374199276	38.840002551	0.992507944
60980.415865943	38.881675001	0.992496963
60980.457532609	38.923348226	0.992485988
60980.499199276	38.965022227	0.992475018
60980.540865943	39.006697004	0.992464053
60980.582532609	39.048372558	0.992453093
60980.624199276	39.090048889	0.992442139
60980.665865943	39.131725996	0.992431190
60980.707532609	39.173403882	0.992420246
60980.749199276	39.215082545	0.992409307
60980.790865943	39.256761987	0.992398374
60980.832532609	39.298442207	0.992387447
60980.874199276	39.340123207	0.992376525
60980.915865943	39.381804986	0.992365608
60980.957532609	39.423487545	0.992354697
60980.999199276	39.465170885	0.992343791
60981.040865943	39.506855006	0.992332891
60981.082532609	39.548539908	0.992321997
60981.124199276	39.590225593	0.992311108
60981.165865943	39.631912059	0.992300224
60981.207532609	39.673599309	0.992289347
60981.249199276	39.715287343	0.992278475
60981.290865943	39.756976161	0.992267609
60981.332532609	39.798665764	0.992256748
60981.374199276	39.840356152	0.992245894
60981.415865943	39.882047326	0.992235045
60981.457532609	39.923739287	0.992224202
60981.499199276	39.965432035	0.992213365
60981.540865943	40.007125571	0.992202533
60981.582532609	40.048819896	0.992191708
60981.624199276	40.090515010	0.992180889
60981.665865943	40.132210914	0.992170075
60981.707532609	40.173907609	0.992159268
60981.749199276	40.215605096	0.992148466
60981.790865943	40.257303375	0.992137671
60981.832532609	40.299002447	0.992126881
60981.874199276	40.340702313	0.992116098
60981.915865943	40.382402973	0.992105321
60981.957532609	40.424104429	0.992094550
60981.999199276	40.465806681	0.992083785
60982.040865943	40.507509731	0.992073026
60982.082532609	40.549213579	0.992062274
60982.124199276	40.590918225	0.992051528
60982.165865943	40.632623671	0.992040788
60982.207532609	40.674329918	0.992030054
60982.249199276	40.716036967	0.992019326
60982.290865943	40.757744818	0.992008605
60982.332532609	40.799453473	0.991997891
60982.374199276	40.841162932	0.991987182
60982.415865943	40.882873197	0.991976480
60982.457532609	40.924584268	0.991965785
60982.499199276	40.966296147	0.991955096
60982.540865943	41.008008834	0.991944413
60982.582532609	41.049722331	0.991933737
60982.624199276	41.091436638	0.991923067
60982.665865943	41.133151757	0.991912404
60982.707532609	41.174867688	0.991901748
60982.749199276	41.216584434	0.991891098
60982.790865943	41.258301994	0.991880454
60982.832532609	41.300020370	0.991869817
60982.874199276	41.341739564	0.991859187
60982.915865943	41.383459575	0.991848564
60982.957532609	41.425180406	0.991837947
60982.999199276	41.466902058	0.991827337
60983.040865943	41.508624531	0.991816733
60983.082532609	41.550347828	0.991806137
60983.124199276	41.592071948	0.991795547
60983.165865943	41.633796894	0.991784963
60983.207532609	41.675522666	0.991774387
60983.249199276	41.717249266	0.991763817
60983.290865943	41.758976696	0.991753255
60983.332532609	41.800704955	0.991742699
60983.374199276	41.842434046	0.991732149
60983.415865943	41.884163970	0.991721607
60983.457532609	41.925894728	0.991711072
60983.499199276	41.967626321	0.991700543
60983.540865943	42.009358751	0.991690022
60983.582532609	42.051092019	0.991679507
