r_lo_arcmin	r_hi_arcmin	events_count	qpb_count	sp_count	oot_count	exposure_s_arcmin2
0.0	0.25	528.0	1.0385482404381037	0.9602038152515888	91.0	22121.055937499557
0.25	0.5	1080.0	3.073874171823263	2.572139018215239	273.0	64090.14128472095
0.5	0.75	1377.0	5.075543764047325	4.005340465344489	389.0	106917.17072916453
0.75	1.25	2587.0	14.51626875740476	10.850507218710845	851.0	293315.4429014703
1.25	2.25	5718.0	54.98598076973576	38.98890565136389	2458.0	1059201.8588747624
2.25	4.0	9508.0	167.70463534654118	119.37536039797124	5902.0	3070127.209164438
4.0	6.0	10055.0	305.2582660061307	215.52624919690425	8846.0	5126002.735290697
6.0	8.0	9086.0	412.04914089804515	297.8612930185627	10265.0	6300815.772443431
8.0	10.0	8677.0	525.0272336995695	372.7680693140719	10910.0	6823000.638636984
10.0	12.0	7529.0	611.1835924626794	420.815883835312	10875.0	6646258.246696925
