r_lo_arcmin	r_hi_arcmin	r_arcmin	events_count	qpb_count	sp_count	oot_count	exposure_s_arcmin2	coverage	net_ct_s_arcmin2	error_ct_s_arcmin2	comet_model_ct_s_arcmin2	sky_ct_s_arcmin2
0.0	0.25	0.16666666666666666	528.0	1.0385482404381037	0.9602038152515888	91.0	22121.055937499557	1.0	0.023519141645600785	0.0010410689619772253	0.024198389428911046	0.0001678295434086954
0.25	0.5	0.38888888888888884	1080.0	3.073874171823263	2.572139018215239	273.0	64090.14128472095	1.0	0.016494814422604285	0.0005143627496412295	0.01563307750013	0.0001678295434086954
0.5	0.75	0.6333333333333333	1377.0	5.075543764047325	4.005340465344489	389.0	106917.17072916453	1.0	0.0125649800364962	0.00034840836431435004	0.012395185673564279	0.0001678295434086954
0.75	1.0	0.8809523809523808	1251.0	6.070804259274155	4.75058138120221	405.0	125840.99754991064	1.0	0.00965236797235152	0.0002824575834343629	0.01016715175778092	0.0001678295434086954
1.0	1.25	1.1296296296296295	1336.0	8.445464498130605	6.099925837508636	446.0	167474.44535155912	1.0	0.007722710213784388	0.00021957883427172834	0.007827883604324466	0.0001678295434086954
1.25	1.5	1.3787878787878787	1429.0	11.100257935235277	7.868020109774079	554.0	215774.05611327698	1.0	0.0063730077041007915	0.00017648581268603185	0.00631732009985173	0.0001678295434086954
1.5	1.75	1.628205128205128	1475.0	12.819965378963389	9.430195956359967	568.0	249379.9431683978	1.0	0.005681955896941751	0.00015527887388577653	0.0052752322110094845	0.0001678295434086954
1.75	2.0	1.8777777777777775	1357.0	14.258155045798048	9.992940351250581	639.0	274527.51319226896	1.0	0.004708059638808361	0.00013550296305285406	0.0045351883199375885	0.0001678295434086954
2.0	2.25	2.127450980392157	1457.0	16.807602409739047	11.697749233979266	697.0	319520.3464008184	1.0	0.004333319189067877	0.00012073761700495197	0.0039736778981072285	0.0001678295434086954
2.25	2.5	2.3771929824561404	1440.0	18.58723659743555	13.108207207696978	780.0	352235.1144791599	1.0	0.0038586855776847396	0.00010902664030583525	0.0035253963354879704	0.0001678295434086954
2.5	2.75	2.626984126984127	1375.0	20.885887427139096	15.190588883298915	802.0	390655.469240444	1.0	0.0032980404093525383	9.62654978146651e-05	0.003164222393426588	0.0001678295434086954
2.75	3.0	2.876811594202898	1347.0	21.68845588993281	15.511694513028488	781.0	402053.46646049526	1.0	0.0031353960474331632	9.264060289754278e-05	0.0028722237007369894	0.0001678295434086954
3.0	3.25	3.1266666666666665	1335.0	23.27121785702184	16.914124791161157	776.0	429793.56484374095	1.0	0.0028988955611859747	8.637866752744504e-05	0.0026328279995523752	0.0001678295434086954
3.25	3.5	3.3765432098765427	1445.0	27.154634500853717	19.22288649645634	925.0	490754.2841102337	1.0	0.0027311987330539936	7.878863773151472e-05	0.002422737308796227	0.0001678295434086954
3.5	3.75	3.626436781609195	1241.0	27.358635333250277	19.032156133907847	891.0	488937.8708029414	1.0	0.0023284680457728063	7.348474540324506e-05	0.002242723216206534	0.0001678295434086954
3.75	4.0	3.876344086021505	1325.0	28.758567740907893	20.39570237242151	947.0	515697.43922741985	1.0	0.0023583299767954433	7.198067421707166e-05	0.0020912124084728353	0.0001678295434086954
4.0	4.25	4.126262626262626	1328.0	31.413661767845042	22.480817225703504	962.0	554834.3393641368	1.0	0.0021871384572144043	6.709238951223552e-05	0.001956433159702953	0.0001678295434086954
4.25	4.5	4.376190476190476	1297.0	33.66506383812521	23.694332581595518	1006.0	583459.4274804572	1.0	0.002016014393082504	6.316776855047222e-05	0.0018357016426822467	0.0001678295434086954
4.5	4.75	4.626126126126126	1253.0	35.115646578837186	24.913808867684565	1095.0	603050.9803320201	1.0	0.0018638317177341267	6.018673232151793e-05	0.0017294247065975448	0.0001678295434086954
4.75	5.0	4.876068376068376	1263.0	36.93788241967559	26.000768100726418	1130.0	626644.702717003	1.0	0.001801453590184427	5.820678346820271e-05	0.0016355158138763885	0.0001678295434086954
5.0	5.25	5.126016260162602	1273.0	39.29350818763487	27.644665267085657	1132.0	656607.1124240311	1.0	0.0017281960628724815	5.584235039468751e-05	0.0015508378509061875	0.0001678295434086954
5.25	5.5	5.375968992248062	1237.0	41.52447495283559	29.447966969339177	1106.0	686698.5394248997	1.0	0.0015965514634645975	5.275464750055629e-05	0.0014734130999330137	0.0001678295434086954
5.5	5.75	5.625925925925926	1174.0	42.28209920716472	29.720788384671323	1191.0	687254.426009101	1.0	0.0014942997433596223	5.145934242220599e-05	0.001403681958609295	0.0001678295434086954
5.75	6.0	5.875886524822694	1230.0	45.02592905401252	31.623101800098084	1224.0	727453.2075390465	1.0	0.001479461438883162	4.978290753848655e-05	0.0013403429606203084	0.0001678295434086954
6.0	6.25	6.125850340136053	1143.0	45.94657005229965	32.598815100383945	1230.0	739787.0876128336	1.0	0.0013341198182197022	4.7338462660714434e-05	0.0012817788877961774	0.0001678295434086954
6.25	6.5	6.375816993464052	1157.0	47.33279782976024	34.14060448599048	1282.0	753962.8562456458	1.0	0.0013193761329804157	4.6771759837641974e-05	0.0012281044121708116	0.0001678295434086954
6.5	6.75	6.625786163522012	1183.0	50.02139209373854	36.029039320885204	1317.0	785528.269197034	1.0	0.0012908237785278739	4.54433360933744e-05	0.0011782586223908823	0.0001678295434086954
6.75	7.0	6.875757575757575	1135.0	49.331728406017646	35.898721671430394	1294.0	767216.7869791525	1.0	0.0012620260223123378	4.562626049824015e-05	0.001132669656786327	0.0001678295434086954
7.0	7.25	7.125730994152046	1157.0	52.43977995705791	38.15654812986031	1297.0	800917.6040364421	1.0	0.0012294556480597445	4.419196848496163e-05	0.001090738975117676	0.0001678295434086954
7.25	7.5	7.375706214689265	1108.0	54.11534663126804	39.372157441684976	1283.0	813127.9452039778	1.0	0.001148261477709793	4.271880798901444e-05	0.0010511390156422577	0.0001678295434086954
7.5	7.75	7.625683060109289	1117.0	56.150492592249066	40.4827013425529	1276.0	823145.9457031086	1.0	0.0011419345633322583	4.241028014354558e-05	0.0010141698666141035	0.0001678295434086954
7.75	8.0	7.875661375661375	1086.0	56.711033335654065	41.18270552577451	1286.0	817129.277465259	1.0	0.0011100914948885027	4.219876757052037e-05	0.0009799406481210775	0.0001678295434086954
8.0	8.25	8.125641025641025	1113.0	59.36515527800657	42.992617750307545	1264.0	834927.390316823	1.0	0.001115079272484285	4.1840596695108965e-05	0.0009479347256385424	0.0001678295434086954
8.25	8.5	8.375621890547263	1112.0	62.21118793520145	44.62949768546969	1396.0	853783.0108419976	1.0	0.001074290894444923	4.0983670832453786e-05	0.0009175213855610151	0.0001678295434086954
8.5	8.75	8.625603864734298	1116.0	63.532384457299486	45.36303305672482	1373.0	851867.5390104005	1.0	0.0010806909998653392	4.1175734902814294e-05	0.0008888370904436023	0.0001678295434086954
8.75	9.0	8.875586854460094	1074.0	62.94521080004051	44.64423597045243	1268.0	825242.7616058881	1.0	0.0010742615318483535	4.174211974769401e-05	0.000862434755628834	0.0001678295434086954
9.0	9.25	9.125570776255707	1093.0	67.06351005658507	48.07282005180605	1412.0	871711.1325173448	1.0	0.0010197273348162982	3.996596833011318e-05	0.0008374444797049234	0.0001678295434086954
9.25	9.5	9.375555555555556	1077.0	68.71923362836242	48.36534024728462	1426.0	864159.376814218	1.0	0.0010068483308391008	4.00821042417561e-05	0.0008134236645773309	0.0001678295434086954
9.5	9.75	9.625541125541124	1049.0	70.17302307579666	49.2924140333198	1405.0	865622.8054383479	1.0	0.0009715774094757065	3.958340093489076e-05	0.0007908103387593911	0.0001678295434086954
9.75	10.0	9.875527426160337	1043.0	71.0175284682773	49.40811051870696	1366.0	855686.6220919957	1.0	0.0009775966334122272	3.995435696811005e-05	0.0007694889266590536	0.0001678295434086954
10.0	10.25	10.12551440329218	1030.0	72.95827236166224	50.512712478404865	1359.0	858347.3846961651	1.0	0.0009563866912118764	3.9660054623437084e-05	0.0007492847292385397	0.0001678295434086954
10.25	10.5	10.375502008032129	1049.0	74.34177450789139	51.59677235526033	1388.0	857151.4913107442	1.0	0.0009748772085305874	4.008351113465517e-05	0.0007299403775880393	0.0001678295434086954
10.5	10.75	10.625490196078431	971.0	74.91705521242693	51.919009804027155	1388.0	845140.5897222065	1.0	0.000895377578814758	3.930309153138753e-05	0.0007115462616104178	0.0001678295434086954
10.75	11.0	10.875478927203064	920.0	74.44298248086125	51.635696860263124	1362.0	826956.2056987701	1.0	0.0008562911987104866	3.9211993153356465e-05	0.0006942010015198006	0.0001678295434086954
11.0	11.25	11.125468164794007	941.0	77.36156022455543	53.160178910242394	1348.0	835259.2593663038	1.0	0.0008686575488138464	3.928807352201156e-05	0.0006776218672077911	0.0001678295434086954
11.25	11.5	11.375457875457874	909.0	77.80873925006017	53.93448049807921	1375.0	822137.9394314078	1.0	0.0008400436801754981	3.934257587973726e-05	0.0006616906647820577	0.0001678295434086954
11.5	11.75	11.625448028673834	868.0	80.465714891674	54.88306242180988	1377.0	821513.851310747	1.0	0.0007862316887974138	3.866256644594967e-05	0.0006464146430140677	0.0001678295434086954
11.75	12.0	11.875438596491227	841.0	78.88749353354797	53.17397050722502	1278.0	779751.5251605777	1.0	0.0008059292167845554	4.010909940162075e-05	0.0006319136561043757	0.0001678295434086954
