parameter	unit	map	q16	median	q84
Q_H2O	s^-1	1.736187725820255e+28	1.5907323880448287e+28	2.043050316714846e+28	2.5897731749492016e+28
Q_CO2	s^-1	2.8597490862151633e+27	2.662277038097597e+27	3.377617463121337e+27	4.430343473488867e+27
Q_CO	s^-1	7.33289457069066e+27	7.085444003647901e+27	8.962692887006878e+27	1.1128484343169144e+28
Q_H2	s^-1	7.244692524699768e+28	3.2547985049296823e+25	5.840803961818668e+28	7.839375983855349e+28
beta_H2O	1	3.3086710554716596	3.0292169600678935	3.3569548268361418	3.5721441818814794
beta_CO2	1	0.6198028380575146	-0.13670784339190983	0.7607886399556986	2.5193982924292992
beta_CO	1	1.6180649188408038	0.33819141830806765	1.3432553690076143	2.4503644831564264
beta_H2	1	0.9276030997273685	0.39319551511609285	0.783932177507443	0.9326110956987568
log10_H2_ratio	1	0.41982709367144344	-3.03279149266265	0.2630492446458058	0.41449325205444015
phi_heavy	cm^-2 s^-1	69734.19494596092	66566.82831160004	81274.15557860273	176349.2297429698
v_H2O_km_s	km s^-1	0.3559531150878468	0.31478520436622304	0.37227699997684716	0.42251377665629036
v_CO2_km_s	km s^-1	0.35219658920830765	0.2816505313186092	0.3556287699643275	0.4050881799685472
v_CO_km_s	km s^-1	0.3826406242234289	0.34188140816083135	0.3986989787183844	0.44938768861712564
v_H2_km_s	km s^-1	0.39712094782965385	0.33724106107064383	0.37895742289110895	0.4177738954423542
v_OH_km_s	km s^-1	0.6673515475838474	0.7022402431111016	1.6127766791454765	2.3052384940813515
v_O_H2O_km_s	km s^-1	1.1521181605514808	0.44702805920281413	1.060285180855926	2.666267857577563
v_O_OH_km_s	km s^-1	1.5177156200007207	0.646136939181354	1.4143143753778107	2.4614682842455875
v_H_km_s	km s^-1	14.131686255701508	6.5227800066031865	11.60980999128551	18.342188622588896
scale	1	0.985432806188651	0.8838030583354225	0.981122753626794	1.0808477112794461
offset	count s^-1 arcmin^-2	3.915677552749558e-05	-8.651662363274792e-06	3.624399678429394e-05	7.669798325883395e-05
jitter	1	0.04960117276601419	0.045385026089830936	0.09507178149195948	0.20703939705147578
Q_total	s^-1	1.0000144616210604e+29	4.2570752974313115e+28	8.896013586310172e+28	1.1118854203224516e+29
H2_fraction	1	0.7244587756216899	0.000926415864484309	0.6469577537968922	0.7220003930268443
