r_lo_arcsec	r_hi_arcsec	data_ct_s_arcmin2	total_error_ct_s_arcmin2	physical_model_ct_s_arcmin2	prediction_ct_s_arcmin2	residual_ct_s_arcmin2
0.0	15.0	0.02335131210219209	0.00150957633664508	0.022364762392300105	0.022078127339514197	0.0012731847626778932
15.0	30.0	0.01632698487919559	0.000965605534817616	0.01671908010154916	0.01651468679688992	-0.0001877019176943287
30.0	45.0	0.012397150493087504	0.0006914514447455657	0.01221919981949262	0.012080357143029965	0.0003167933500575395
45.0	75.0	0.008382760903567434	0.00044258141036673245	0.008322365902446466	0.008240289160904062	0.0001424717426633717
75.0	135.0	0.0049956537603206294	0.00025182195184514236	0.004936696179192067	0.004903939144689526	9.171461563110307e-05
135.0	240.0	0.0027144920678394083	0.000137860283137451	0.0027420787523669797	0.0027412911352627635	-2.6799067423355187e-05
240.0	360.0	0.0015834214699772507	8.306362126314688e-05	0.0016489038288917705	0.0016640407027675242	-8.061923279027348e-05
360.0	480.0	0.0010588996366266642	5.6762248618330685e-05	0.0011157442640105728	0.0011386477766003255	-7.974813997366128e-05
480.0	600.0	0.00087157746717061	4.2261360931710715e-05	0.0008130732858192591	0.0008403858652093951	3.119160196121489e-05
600.0	720.0	0.0007066287319059014	3.3762197018023775e-05	0.0006289560163084206	0.0006589506676475375	4.767806425836393e-05
